run_id,track,context,fold_id,tier_group,feature_name,mean_abs_shap,mean_signed_shap,rank,n_obs
P4_ridge_a1_0,policy,holdout,holdout,centrum,t_day_class_5__event_day,0.0008732067616574651,-6.695933857257187e-05,67,15000
P4_ridge_a1_0,policy,holdout,holdout,centrum,e_is_festival_day,0.000549071389150762,-1.6678960788299972e-05,68,15000
P4_ridge_a1_0,policy,holdout,holdout,centrum,t_day_class_5__weekday_regular,0.0005248489350398199,8.930810152107306e-05,69,15000
P4_ridge_a1_0,policy,holdout,holdout,centrum,e_int_wind_x_season__herfst,0.000360120222029104,-1.1548337079503433e-05,70,15000
P4_ridge_a1_0,policy,holdout,holdout,centrum,e_is_procession_day,0.0003231031716142334,0.0003231031716142331,71,15000
P4_ridge_a1_0,policy,holdout,holdout,centrum,e_is_high_wind_gust,0.0002117591079148141,-4.0650086456778496e-05,72,15000
P4_ridge_a1_0,policy,holdout,holdout,centrum,e_precip_bin__moderate,0.00017423122785936346,-5.73555712406843e-05,73,15000
P4_ridge_a1_0,policy,holdout,holdout,centrum,e_precip_mm,0.00015068484224538655,-7.139797211317619e-05,74,15000
P4_ridge_a1_0,policy,holdout,holdout,centrum,e_precip_bin__dry,0.00013155126619545873,-3.2680978266647355e-05,75,15000
P4_ridge_a1_0,policy,holdout,holdout,centrum,e_int_precip_x_season__herfst,0.0001252060686924606,-0.00011065989476654152,76,15000
P4_ridge_a1_0,policy,holdout,holdout,centrum,e_int_precip_x_season__lente,6.526108557775555e-05,-2.025888553759219e-05,77,15000
P4_ridge_a1_0,policy,holdout,holdout,centrum,e_precip_bin__heavy,5.539938081550614e-05,5.539938081550614e-05,78,15000
P4_ridge_a1_0,policy,holdout,holdout,centrum,e_int_precip_x_season__winter,2.789618731320515e-05,-1.0065628127327091e-05,79,15000
P4_ridge_a1_0,policy,holdout,holdout,centrum,e_is_carnival_day,1.755496621589745e-05,3.666686388281872e-06,80,15000
P4_ridge_a1_0,policy,holdout,holdout,centrum,e_precip_bin__light,1.5107111467225752e-05,-1.6963574572076219e-06,81,15000
P4_ridge_a1_0,policy,holdout,holdout,centrum,e_int_precip_x_season__zomer,5.522054706197027e-07,5.522054706197026e-07,82,15000
P4_ridge_a1_0,policy,holdout,holdout,vesten_rand,s_parking_id__p_maarten,0.06303469087984682,-0.03743596216625584,1,15000
P4_ridge_a1_0,policy,holdout,holdout,vesten_rand,t_season__zomer,0.043213727927090405,-0.002551266381019617,2,15000
P4_ridge_a1_0,policy,holdout,holdout,vesten_rand,t_hour_cos,0.036190426656015316,-0.007844269231124502,3,15000
P4_ridge_a1_0,policy,holdout,holdout,vesten_rand,s_parking_id__p_tinel,0.03576863012637159,0.0033754754890906666,4,15000
P4_ridge_a1_0,policy,holdout,holdout,vesten_rand,e_int_temp_x_season__zomer,0.031384183106324376,0.002889984192445796,5,15000
P4_ridge_a1_0,policy,holdout,holdout,vesten_rand,s_parking_id__p_komet,0.0308368441011641,-0.020253518162354673,6,15000
P4_ridge_a1_0,policy,holdout,holdout,vesten_rand,e_n_concurrent_events_capped,0.030621967451205438,-0.000543574928484324,7,15000
P4_ridge_a1_0,policy,holdout,holdout,vesten_rand,t_hour_sin,0.02812953632175508,0.0016133028808662814,8,15000
P4_ridge_a1_0,policy,holdout,holdout,vesten_rand,e_int_temp_x_season__lente,0.02683560697759214,-0.0016901690221075218,9,15000
P4_ridge_a1_0,policy,holdout,holdout,vesten_rand,t_season__lente,0.02376012403581456,0.0020051628172707762,10,15000
P4_ridge_a1_0,policy,holdout,holdout,vesten_rand,t_is_school_vacation,0.022023503761943723,-0.0030026246328301825,11,15000
P4_ridge_a1_0,policy,holdout,holdout,vesten_rand,s_tier_is_vesten,0.02095958645642121,-0.01558497147271302,12,15000
P4_ridge_a1_0,policy,holdout,holdout,vesten_rand,s_parking_id__p_bruul,0.020738503873108213,-0.008896559471939592,13,15000
P4_ridge_a1_0,policy,holdout,holdout,vesten_rand,s_parking_id__p_hoogstraat,0.020414605951038042,0.020414605951038042,14,15000
P4_ridge_a1_0,policy,holdout,holdout,vesten_rand,t_month_sin,0.020411642651180555,-0.0025478967643723345,15,15000
P4_ridge_a1_0,policy,holdout,holdout,vesten_rand,t_season__winter,0.01828067044338264,3.2496081138756774e-06,16,15000
P4_ridge_a1_0,policy,holdout,holdout,vesten_rand,e_event_scale_max,0.01752902494221289,0.0024519618103582496,17,15000
P4_ridge_a1_0,policy,holdout,holdout,vesten_rand,s_capacity_bucket__large,0.014863159725103648,-0.006355424577248339,18,15000
P4_ridge_a1_0,policy,holdout,holdout,vesten_rand,s_tier_is_centrum,0.013253896234433155,-0.013253896234433155,19,15000
P4_ridge_a1_0,policy,holdout,holdout,vesten_rand,e_n_concurrent_events,0.01018007254295058,1.853670379279264e-05,20,15000
P4_ridge_a1_0,policy,holdout,holdout,vesten_rand,e_int_wind_x_season__zomer,0.009411549825478838,-1.7293282855959028e-05,21,15000
