run_id,track,context,fold_id,feature_name,mean_abs_shap,mean_signed_shap,rank,n_obs
P4_ridge_a1_0,policy,fold_cv_fold_1,cv_fold_1,e_is_football_day,0.0015200454382604909,-0.0005666493776273442,53,10000
P4_ridge_a1_0,policy,fold_cv_fold_1,cv_fold_1,e_has_football_kickoff,0.0015200451253650701,-0.0005666492609849123,54,10000
P4_ridge_a1_0,policy,fold_cv_fold_1,cv_fold_1,s_parking_id__p_kathedraal,0.0014975253617344646,0.0005505607947555047,55,10000
P4_ridge_a1_0,policy,fold_cv_fold_1,cv_fold_1,t_is_any_holiday,0.001381522287054216,0.0006891259294574207,56,10000
P4_ridge_a1_0,policy,fold_cv_fold_1,cv_fold_1,e_football_kickoff_hour_sin,0.0012165831067437731,-0.0004049099567254469,57,10000
P4_ridge_a1_0,policy,fold_cv_fold_1,cv_fold_1,e_is_festival_day,0.0011918803413930865,-0.0011918803413930865,58,10000
P4_ridge_a1_0,policy,fold_cv_fold_1,cv_fold_1,t_is_national_holiday,0.0011816473061341236,-0.0003109123860710357,59,10000
P4_ridge_a1_0,policy,fold_cv_fold_1,cv_fold_1,e_temp_c_sq,0.0011147063546879618,-0.0008157713615883908,60,10000
P4_ridge_a1_0,policy,fold_cv_fold_1,cv_fold_1,e_football_kickoff_hour_cos,0.0010561475322536137,-0.0005169720819565248,61,10000
P4_ridge_a1_0,policy,fold_cv_fold_1,cv_fold_1,e_int_vacation_x_tier_centrum,0.0008431391664673997,-0.00010369965149721699,62,10000
P4_ridge_a1_0,policy,fold_cv_fold_1,cv_fold_1,e_precip_bin__heavy,0.0007583878107718378,-0.0003558563494455371,63,10000
P4_ridge_a1_0,policy,fold_cv_fold_1,cv_fold_1,e_int_precip_x_season__winter,0.0007509168735899836,0.00011844990552645709,64,10000
P4_ridge_a1_0,policy,fold_cv_fold_1,cv_fold_1,e_int_wind_x_season__winter,0.0006548552447218004,0.00023422690436568315,65,10000
P4_ridge_a1_0,policy,fold_cv_fold_1,cv_fold_1,e_precip_mm,0.0005628336904034176,0.0003063731436271519,66,10000
P4_ridge_a1_0,policy,fold_cv_fold_1,cv_fold_1,e_is_other_day,0.00046878215373751393,1.7167913969670458e-05,67,10000
P4_ridge_a1_0,policy,fold_cv_fold_1,cv_fold_1,s_tier_is_centrum,0.00040094515854537837,1.554973575323397e-05,68,10000
P4_ridge_a1_0,policy,fold_cv_fold_1,cv_fold_1,e_int_precip_x_season__herfst,0.0003338042814564016,0.0003288386004790822,69,10000
P4_ridge_a1_0,policy,fold_cv_fold_1,cv_fold_1,e_precip_bin__moderate,0.0003048306315389535,0.0001717348730036383,70,10000
P4_ridge_a1_0,policy,fold_cv_fold_1,cv_fold_1,e_int_wind_x_season__herfst,0.0002564950773312528,0.0002187049490453632,71,10000
P4_ridge_a1_0,policy,fold_cv_fold_1,cv_fold_1,e_is_procession_day,0.0002352169459604925,0.0002352169459604925,72,10000
P4_ridge_a1_0,policy,fold_cv_fold_1,cv_fold_1,e_precip_bin__dry,0.00020362615644635911,-8.1832974814345e-05,73,10000
P4_ridge_a1_0,policy,fold_cv_fold_1,cv_fold_1,e_precip_bin__light,0.00020122096131116555,4.016409163755242e-05,74,10000
P4_ridge_a1_0,policy,fold_cv_fold_1,cv_fold_1,e_is_markt_day,0.00010260386456938546,-0.00010260386456938546,75,10000
