run_id,cv_mode,fold_id,track,variant,model_family,model_key,n_train,n_valid,mae,rmse,mape,mae_tier_centrum,mae_tier_vesten_rand,mae_event,mae_non_event,fit_status
P1_ridge_a1_0,fixed_export,cv_fold_2,policy,P1,ridge,ridge_a1_0,82114,10725,0.2408216983533382,0.2896271999714729,512.9144575825719,0.2063096928825949,0.2693768693477035,0.244880055662103,0.2382043068681609,ok
P1_ridge_a1_0,fixed_export,cv_fold_3,policy,P1,ridge,ridge_a1_0,107789,22048,0.2153774728943727,0.26874206147205,774829.2873368268,0.275973317541259,0.1548695119960679,0.2169393140833979,0.2148286506120141,ok
P1_rf_90_d12_l2,fold_safe,cv_fold_1,policy,P1,random_forest,rf_90_d12_l2,61192,11529,0.1330925491098251,0.1728165054348429,154024.2306207939,0.1063328256443389,0.1823212127954696,0.1311277072798938,0.1342604221820205,ok
P1_rf_90_d12_l2,fold_safe,cv_fold_2,policy,P1,random_forest,rf_90_d12_l2,82114,10725,0.3235193544660272,0.420474012338977,667.2210412746614,0.3310946076279556,0.3172516036815112,0.3193484550622895,0.3262093286980391,ok
P1_rf_90_d12_l2,fold_safe,cv_fold_3,policy,P1,random_forest,rf_90_d12_l2,107789,22048,0.3490517281257398,0.4353650013877859,1732002.6398801168,0.4564131862400225,0.2418459791602814,0.3499464824164363,0.3487373164586504,ok
P1_rf_90_d12_l2,fixed_export,cv_fold_1,policy,P1,random_forest,rf_90_d12_l2,61192,11529,0.1330925491098251,0.1728165054348429,154024.23062079397,0.1063328256443389,0.1823212127954696,0.1311277072798938,0.1342604221820205,ok
P1_rf_90_d12_l2,fixed_export,cv_fold_2,policy,P1,random_forest,rf_90_d12_l2,82114,10725,0.3235193544660272,0.420474012338977,667.2210412746614,0.3310946076279556,0.3172516036815113,0.3193484550622895,0.3262093286980391,ok
P1_rf_90_d12_l2,fixed_export,cv_fold_3,policy,P1,random_forest,rf_90_d12_l2,107789,22048,0.3490517281257398,0.4353650013877859,1732002.6398801168,0.4564131862400224,0.2418459791602814,0.3499464824164363,0.3487373164586504,ok
P1_xgb_80_d4_lr006,fold_safe,cv_fold_1,policy,P1,xgboost,xgb_80_d4_lr006,61192,11529,0.1712824136593445,0.211611236348389,151249.0007031877,0.180125207178673,0.1550147228229246,0.172044205215163,0.1708296159678899,ok
P1_xgb_80_d4_lr006,fold_safe,cv_fold_2,policy,P1,xgboost,xgb_80_d4_lr006,82114,10725,0.2738504153900124,0.3311694197232023,577.6513978000535,0.2486310877022987,0.2947168415702027,0.2786369259951307,0.2707634097006685,ok
P1_xgb_80_d4_lr006,fold_safe,cv_fold_3,policy,P1,xgboost,xgb_80_d4_lr006,107789,22048,0.2381099230253157,0.2970818109775601,1096436.2683685888,0.3086264574694209,0.1676956605673513,0.2375868576624278,0.2382937252763385,ok
P1_xgb_80_d4_lr006,fixed_export,cv_fold_1,policy,P1,xgboost,xgb_80_d4_lr006,61192,11529,0.1712824136593445,0.211611236348389,151249.0007031877,0.180125207178673,0.1550147228229246,0.172044205215163,0.1708296159678899,ok
P1_xgb_80_d4_lr006,fixed_export,cv_fold_2,policy,P1,xgboost,xgb_80_d4_lr006,82114,10725,0.2738504153900124,0.3311694197232023,577.6513978000535,0.2486310877022987,0.2947168415702027,0.2786369259951307,0.2707634097006685,ok
P1_xgb_80_d4_lr006,fixed_export,cv_fold_3,policy,P1,xgboost,xgb_80_d4_lr006,107789,22048,0.2381099230253157,0.2970818109775601,1096436.2683685888,0.3086264574694209,0.1676956605673513,0.2375868576624278,0.2382937252763385,ok
P2_ridge_a1_0,fold_safe,cv_fold_1,policy,P2,ridge,ridge_a1_0,61192,11529,0.2328089972760747,0.2848986888740488,103261.3973252765,0.2561282344903184,0.189909641918147,0.2391379631858015,0.229047153066421,ok
P2_ridge_a1_0,fold_safe,cv_fold_2,policy,P2,ridge,ridge_a1_0,82114,10725,0.2762419044754938,0.3286090743002661,644.0773124262289,0.2429499446678144,0.3037876118917642,0.2828850055141466,0.2719575118577737,ok
P2_ridge_a1_0,fold_safe,cv_fold_3,policy,P2,ridge,ridge_a1_0,107789,22048,0.2250578271835133,0.2811676088544573,1981697.1346917977,0.260311268791649,0.1898555145697331,0.228414811754429,0.2238782015295102,ok
P2_ridge_a1_0,fixed_export,cv_fold_1,policy,P2,ridge,ridge_a1_0,61192,11529,0.2329936992229259,0.2848981126136387,102664.12649292882,0.2562771712968929,0.1901601393903003,0.2394523714888601,0.2291547594636968,ok
P2_ridge_a1_0,fixed_export,cv_fold_2,policy,P2,ridge,ridge_a1_0,82114,10725,0.2765028164778777,0.3289241897759686,645.8917343625681,0.2430912086862131,0.3041475204200013,0.2834061020107242,0.2720506208236417,ok
P2_ridge_a1_0,fixed_export,cv_fold_3,policy,P2,ridge,ridge_a1_0,107789,22048,0.2250518854286107,0.2811552120156938,1981777.748816758,0.2602906485747703,0.1898642299882469,0.2284138124126353,0.2238705230382084,ok
P2_rf_90_d12_l2,fold_safe,cv_fold_1,policy,P2,random_forest,rf_90_d12_l2,61192,11529,0.1380813098371937,0.1783699356905663,151091.0061407396,0.1133739019086614,0.1835344206298556,0.1382508944010795,0.1379805112677591,ok
